"","Word","snum","Rank","Part.of.speech"
"1","African",3,1207,"j"
"2","American",4,176,"j"
"3","American",4,545,"n"
"4","Arab",2,2221,"j"
"5","Arab",2,3997,"n"
"6","Asian",2,2371,"j"
"7","Bible",2,2766,"n"
"8","British",2,1187,"j"
"9","Canadian",4,2661,"j"
"10","Catholic",3,1769,"j"
"11","Catholic",3,3127,"n"
"12","Chinese",2,1222,"j"
"13","Chinese",2,1222,"j"
"14","Christian",2,1278,"j"
"15","Christian",2,3190,"n"
"16","Christianity",5,4332,"n"
"17","Christmas",2,1370,"n"
"18","Congress",2,639,"n"
"19","DNA",1,2852,"n"
"20","Democrat",3,906,"n"
"21","Dutch",1,4099,"j"
"22","English",2,1796,"j"
"23","English",2,1917,"n"
"24","European",4,1269,"j"
"25","European",4,3736,"n"
"26","French",1,1369,"j"
"27","French",1,3099,"n"
"28","German",2,1837,"j"
"29","German",2,3196,"n"
"30","God",1,3202,"n"
"31","Greek",1,4104,"j"
"32","Hispanic",3,3547,"j"
"33","Indian",3,1441,"j"
"34","Indian",3,2340,"n"
"35","Iraqi",3,1662,"j"
"36","Irish",2,2955,"j"
"37","Islam",2,3538,"n"
"38","Islamic",3,2619,"j"
"39","Israeli",3,2102,"j"
"40","Israeli",3,3915,"n"
"41","Italian",3,2660,"j"
"42","Japanese",3,1731,"j"
"43","Japanese",3,3889,"n"
"44","Jew",1,2022,"n"
"45","Jewish",2,1809,"j"
"46","Korean",3,3555,"j"
"47","Latin",2,2549,"j"
"48","Mexican",3,2268,"j"
"49","Mrs",1,1038,"n"
"50","Muslim",2,2615,"j"
"51","Muslim",2,3546,"n"
"52","Olympic",3,2760,"j"
"53","Palestinian",5,2555,"j"
"54","Palestinian",5,3155,"n"
"55","Persian",2,4580,"j"
"56","Republican",4,595,"n"
"57","Roman",2,3539,"j"
"58","Russian",2,1571,"j"
"59","Russian",2,4033,"n"
"60","Senate",2,1115,"n"
"61","Soviet",3,1252,"j"
"62","Spanish",2,2225,"j"
"63","T-shirt",1,3521,"n"
"64","abandon",3,2201,"v"
"65","ability",4,783,"n"
"66","able",2,386,"j"
"67","abortion",3,1983,"n"
"68","about",2,179,"r"
"69","above",2,1599,"r"
"70","abroad",2,3392,"r"
"71","absence",2,2547,"n"
"72","absolute",3,3192,"j"
"73","absolutely",4,1152,"r"
"74","absorb",2,3145,"v"
"75","abstract",2,4045,"j"
"76","abuse",2,1548,"n"
"77","abuse",2,3778,"v"
"78","academic",4,1473,"j"
"79","accelerate",4,4977,"v"
"80","accent",2,4181,"n"
"81","accept",2,767,"v"
"82","acceptable",4,3445,"j"
"83","acceptance",3,3473,"n"
"84","access",2,1117,"n"
"85","access",2,4416,"v"
"86","accessible",4,4423,"j"
"87","accident",3,1720,"n"
"88","accommodate",4,3753,"v"
"89","accompany",4,2460,"v"
"90","accomplish",3,2366,"v"
"91","accomplishment",4,4351,"n"
"92","account",2,1075,"n"
"93","account",2,1923,"v"
"94","accountability",6,4855,"n"
"95","accounting",3,3960,"n"
"96","accuracy",4,4111,"n"
"97","accurate",3,2754,"j"
"98","accurately",4,4950,"r"
"99","accusation",4,4924,"n"
"100","accuse",2,2041,"v"
"101","achieve",2,1155,"v"
"102","achievement",3,2038,"n"
"103","acid",2,3265,"n"
"104","acknowledge",3,1664,"v"
"105","acquire",2,2079,"v"
"106","acquisition",4,3893,"n"
"107","across",2,3154,"r"
"108","act",1,840,"v"
"109","act",1,1139,"n"
"110","action",2,503,"n"
"111","active",2,1451,"j"
"112","actively",3,4356,"r"
"113","activist",3,2618,"n"
"114","activity",4,538,"n"
"115","actor",2,1507,"n"
"116","actress",2,3263,"n"
"117","actual",3,1752,"j"
"118","actually",4,397,"r"
"119","adapt",2,2954,"v"
"120","add",1,341,"v"
"121","addition",3,3976,"n"
"122","additional",4,1326,"j"
"123","address",2,1031,"v"
"124","address",2,1820,"n"
"125","adequate",3,3326,"j"
"126","adjust",2,2320,"v"
"127","adjustment",3,3146,"n"
"128","administer",4,3695,"v"
"129","administration",5,636,"n"
"130","administrative",5,3543,"j"
"131","administrator",5,2505,"n"
"132","admire",2,3305,"v"
"133","admission",3,3057,"n"
"134","admit",2,1093,"v"
